,Year,Month,Cost Centre,Account,Account Type,Amount
79,2019,Jan,CC300,ACC1000001,Revenue,657.558
80,2019,Jan,CC300,ACC1000002,Revenue,482.124
81,2019,Jan,CC300,ACC1000004,Revenue,153.484
82,2019,Jan,CC300,ACC2000000,Expense,106.058
83,2019,Jan,CC300,ACC2000001,Expense,531.889
84,2019,Jan,CC300,ACC2000002,Expense,220.727
85,2019,Jan,CC300,ACC2000003,Expense,256.358
86,2019,Jan,CC300,ACC2000005,Expense,97.344
87,2019,Jan,CC300,ACC3000000,Asset,-409.284
89,2019,Jan,CC300,ACC3000002,Asset,49.179
90,2019,Jan,CC300,ACC4000001,Liability,-392.0
91,2019,Jan,CC301,ACC1000000,Revenue,138.27
92,2019,Jan,CC301,ACC1000001,Revenue,762.921
93,2019,Jan,CC301,ACC1000002,Revenue,1359.624
94,2019,Jan,CC301,ACC1000004,Revenue,695.735
95,2019,Jan,CC301,ACC2000000,Expense,138.95
96,2019,Jan,CC301,ACC2000001,Expense,822.939
97,2019,Jan,CC301,ACC2000002,Expense,541.236
98,2019,Jan,CC301,ACC2000003,Expense,600.081
99,2019,Jan,CC301,ACC2000005,Expense,46.318
100,2019,Jan,CC301,ACC3000000,Asset,-483.463
102,2019,Jan,CC301,ACC3000002,Asset,374.768
103,2019,Jan,CC301,ACC4000001,Liability,-990.0
104,2019,Jan,CC302,ACC1000000,Revenue,437.318
105,2019,Jan,CC302,ACC1000001,Revenue,664.315
106,2019,Jan,CC302,ACC1000002,Revenue,389.524
107,2019,Jan,CC302,ACC1000004,Revenue,555.725
108,2019,Jan,CC302,ACC2000000,Expense,311.978
109,2019,Jan,CC302,ACC2000001,Expense,204.271
110,2019,Jan,CC302,ACC2000002,Expense,133.474
111,2019,Jan,CC302,ACC2000003,Expense,259.099
112,2019,Jan,CC302,ACC2000005,Expense,286.239
113,2019,Jan,CC302,ACC3000000,Asset,-249.709
115,2019,Jan,CC302,ACC3000002,Asset,277.7
116,2019,Jan,CC302,ACC4000001,Liability,-788.0
117,2019,Feb,CC100,ACC1000000,Revenue,919.749
118,2019,Feb,CC100,ACC1000001,Revenue,398.591
119,2019,Feb,CC100,ACC1000002,Revenue,1091.767
120,2019,Feb,CC100,ACC1000004,Revenue,489.903
121,2019,Feb,CC100,ACC2000000,Expense,448.411
122,2019,Feb,CC100,ACC2000001,Expense,682.433
123,2019,Feb,CC100,ACC2000002,Expense,367.326
124,2019,Feb,CC100,ACC2000003,Expense,413.083
125,2019,Feb,CC100,ACC2000005,Expense,409.058
126,2019,Feb,CC100,ACC3000000,Asset,489.827
128,2019,Feb,CC100,ACC3000002,Asset,69.59
129,2019,Feb,CC100,ACC4000001,Liability,784.0
130,2019,Feb,CC101,ACC1000000,Revenue,1714.978
131,2019,Feb,CC101,ACC1000001,Revenue,692.601
132,2019,Feb,CC101,ACC1000002,Revenue,646.698
133,2019,Feb,CC101,ACC1000004,Revenue,712.851
134,2019,Feb,CC101,ACC2000000,Expense,1096.24
135,2019,Feb,CC101,ACC2000001,Expense,713.597
136,2019,Feb,CC101,ACC2000002,Expense,256.82
137,2019,Feb,CC101,ACC2000003,Expense,383.341
138,2019,Feb,CC101,ACC2000005,Expense,1005.091
139,2019,Feb,CC101,ACC3000000,Asset,-474.013
141,2019,Feb,CC101,ACC3000002,Asset,221.943
142,2019,Feb,CC101,ACC4000001,Liability,-596.0
143,2019,Feb,CC102,ACC1000000,Revenue,533.638
144,2019,Feb,CC102,ACC1000001,Revenue,1342.914
145,2019,Feb,CC102,ACC1000002,Revenue,278.669
146,2019,Feb,CC102,ACC1000004,Revenue,141.593
147,2019,Feb,CC102,ACC2000000,Expense,220.7
148,2019,Feb,CC102,ACC2000001,Expense,242.198
149,2019,Feb,CC102,ACC2000002,Expense,183.951
150,2019,Feb,CC102,ACC2000003,Expense,254.244
151,2019,Feb,CC102,ACC2000005,Expense,341.427
152,2019,Feb,CC102,ACC3000000,Asset,-0.591
154,2019,Feb,CC102,ACC3000002,Asset,93.571
155,2019,Feb,CC102,ACC4000001,Liability,-590.0
156,2019,Feb,CC200,ACC1000000,Revenue,376.871
157,2019,Feb,CC200,ACC1000001,Revenue,593.454
158,2019,Feb,CC200,ACC1000002,Revenue,1456.661
159,2019,Feb,CC200,ACC1000004,Revenue,739.476
160,2019,Feb,CC200,ACC2000000,Expense,413.286
161,2019,Feb,CC200,ACC2000001,Expense,894.263
162,2019,Feb,CC200,ACC2000002,Expense,514.014
163,2019,Feb,CC200,ACC2000003,Expense,758.968
164,2019,Feb,CC200,ACC2000005,Expense,102.229
165,2019,Feb,CC200,ACC3000000,Asset,864.032
167,2019,Feb,CC200,ACC3000002,Asset,656.701
168,2019,Feb,CC200,ACC4000001,Liability,790.0
169,2019,Feb,CC201,ACC1000000,Revenue,1789.62
170,2019,Feb,CC201,ACC1000001,Revenue,543.764
171,2019,Feb,CC201,ACC1000002,Revenue,484.713
172,2019,Feb,CC201,ACC1000004,Revenue,973.275
173,2019,Feb,CC201,ACC2000000,Expense,1075.246
174,2019,Feb,CC201,ACC2000001,Expense,295.243
175,2019,Feb,CC201,ACC2000002,Expense,101.182
176,2019,Feb,CC201,ACC2000003,Expense,170.59
177,2019,Feb,CC201,ACC2000005,Expense,1062.15
178,2019,Feb,CC201,ACC3000000,Asset,-534.406
180,2019,Feb,CC201,ACC3000002,Asset,887.728
181,2019,Feb,CC201,ACC4000001,Liability,-604.0
182,2019,Feb,CC202,ACC1000000,Revenue,1095.342
183,2019,Feb,CC202,ACC1000001,Revenue,671.793
184,2019,Feb,CC202,ACC1000002,Revenue,690.647
185,2019,Feb,CC202,ACC1000004,Revenue,664.819
186,2019,Feb,CC202,ACC2000000,Expense,651.265
187,2019,Feb,CC202,ACC2000001,Expense,433.528
188,2019,Feb,CC202,ACC2000002,Expense,319.905
189,2019,Feb,CC202,ACC2000003,Expense,298.003
190,2019,Feb,CC202,ACC2000005,Expense,569.352
191,2019,Feb,CC202,ACC3000000,Asset,-381.819
193,2019,Feb,CC202,ACC3000002,Asset,164.555
194,2019,Feb,CC202,ACC4000001,Liability,-784.0
195,2019,Feb,CC300,ACC1000000,Revenue,487.509
196,2019,Feb,CC300,ACC1000001,Revenue,483.433
197,2019,Feb,CC300,ACC1000002,Revenue,1172.09
198,2019,Feb,CC300,ACC1000004,Revenue,143.185
199,2019,Feb,CC300,ACC2000000,Expense,380.684
200,2019,Feb,CC300,ACC2000001,Expense,828.266
201,2019,Feb,CC300,ACC2000002,Expense,319.042
202,2019,Feb,CC300,ACC2000003,Expense,508.493
203,2019,Feb,CC300,ACC2000005,Expense,313.398
204,2019,Feb,CC300,ACC3000000,Asset,-140.727
206,2019,Feb,CC300,ACC3000002,Asset,397.284
207,2019,Feb,CC300,ACC4000001,Liability,786.0
208,2019,Feb,CC301,ACC1000000,Revenue,1734.216
209,2019,Feb,CC301,ACC1000001,Revenue,1046.038
210,2019,Feb,CC301,ACC1000002,Revenue,819.267
211,2019,Feb,CC301,ACC1000004,Revenue,447.947
212,2019,Feb,CC301,ACC2000000,Expense,1198.946
213,2019,Feb,CC301,ACC2000001,Expense,752.637
214,2019,Feb,CC301,ACC2000002,Expense,334.592
215,2019,Feb,CC301,ACC2000003,Expense,546.133
216,2019,Feb,CC301,ACC2000005,Expense,1145.103
217,2019,Feb,CC301,ACC3000000,Asset,836.5
219,2019,Feb,CC301,ACC3000002,Asset,572.657
220,2019,Feb,CC301,ACC4000001,Liability,-2.0
221,2019,Feb,CC302,ACC1000000,Revenue,711.853
222,2019,Feb,CC302,ACC1000001,Revenue,450.678
223,2019,Feb,CC302,ACC1000002,Revenue,240.447
224,2019,Feb,CC302,ACC1000004,Revenue,942.876
225,2019,Feb,CC302,ACC2000000,Expense,450.689
226,2019,Feb,CC302,ACC2000001,Expense,266.601
227,2019,Feb,CC302,ACC2000002,Expense,179.011
228,2019,Feb,CC302,ACC2000003,Expense,394.539
229,2019,Feb,CC302,ACC2000005,Expense,398.177
230,2019,Feb,CC302,ACC3000000,Asset,-334.101
232,2019,Feb,CC302,ACC3000002,Asset,171.6
233,2019,Feb,CC302,ACC4000001,Liability,-986.0
234,2019,Mar,CC100,ACC1000000,Revenue,865.559
235,2019,Mar,CC100,ACC1000001,Revenue,576.036
236,2019,Mar,CC100,ACC1000002,Revenue,708.784
237,2019,Mar,CC100,ACC1000004,Revenue,937.023
238,2019,Mar,CC100,ACC2000000,Expense,629.864
239,2019,Mar,CC100,ACC2000001,Expense,430.283
240,2019,Mar,CC100,ACC2000002,Expense,349.169
241,2019,Mar,CC100,ACC2000003,Expense,375.179
242,2019,Mar,CC100,ACC2000005,Expense,589.391
243,2019,Mar,CC100,ACC3000000,Asset,-400.473
245,2019,Mar,CC100,ACC3000002,Asset,127.135
246,2019,Mar,CC100,ACC4000001,Liability,-788.0
247,2019,Mar,CC101,ACC1000000,Revenue,1341.244
248,2019,Mar,CC101,ACC1000001,Revenue,225.852
249,2019,Mar,CC101,ACC1000002,Revenue,710.066
250,2019,Mar,CC101,ACC1000004,Revenue,726.746
251,2019,Mar,CC101,ACC2000000,Expense,874.51
252,2019,Mar,CC101,ACC2000001,Expense,395.469
253,2019,Mar,CC101,ACC2000002,Expense,264.52
254,2019,Mar,CC101,ACC2000003,Expense,352.856
255,2019,Mar,CC101,ACC2000005,Expense,612.318
256,2019,Mar,CC101,ACC3000000,Asset,543.876
258,2019,Mar,CC101,ACC3000002,Asset,543.477
259,2019,Mar,CC101,ACC4000001,Liability,786.0
260,2019,Mar,CC102,ACC1000000,Revenue,761.076
261,2019,Mar,CC102,ACC1000001,Revenue,677.263
262,2019,Mar,CC102,ACC1000002,Revenue,558.518
263,2019,Mar,CC102,ACC1000004,Revenue,547.563
264,2019,Mar,CC102,ACC2000000,Expense,328.858
265,2019,Mar,CC102,ACC2000001,Expense,343.742
266,2019,Mar,CC102,ACC2000002,Expense,272.038
267,2019,Mar,CC102,ACC2000003,Expense,329.247
268,2019,Mar,CC102,ACC2000005,Expense,347.054
269,2019,Mar,CC102,ACC3000000,Asset,-501.828
271,2019,Mar,CC102,ACC3000002,Asset,373.285
272,2019,Mar,CC102,ACC4000001,Liability,-980.0
273,2019,Mar,CC200,ACC1000000,Revenue,954.495
274,2019,Mar,CC200,ACC1000001,Revenue,155.156
275,2019,Mar,CC200,ACC1000002,Revenue,1181.546
276,2019,Mar,CC200,ACC1000004,Revenue,118.001
277,2019,Mar,CC200,ACC2000000,Expense,520.531
278,2019,Mar,CC200,ACC2000001,Expense,675.95
279,2019,Mar,CC200,ACC2000002,Expense,584.69
280,2019,Mar,CC200,ACC2000003,Expense,714.165
281,2019,Mar,CC200,ACC2000005,Expense,452.215
282,2019,Mar,CC200,ACC3000000,Asset,-98.238
284,2019,Mar,CC200,ACC3000002,Asset,192.251
285,2019,Mar,CC200,ACC4000001,Liability,594.0
286,2019,Mar,CC201,ACC1000000,Revenue,688.364
287,2019,Mar,CC201,ACC1000001,Revenue,528.695
288,2019,Mar,CC201,ACC1000002,Revenue,1236.21
289,2019,Mar,CC201,ACC1000004,Revenue,448.448
290,2019,Mar,CC201,ACC2000000,Expense,270.218
291,2019,Mar,CC201,ACC2000001,Expense,687.531
292,2019,Mar,CC201,ACC2000002,Expense,453.516
293,2019,Mar,CC201,ACC2000003,Expense,563.78
294,2019,Mar,CC201,ACC2000005,Expense,202.292
295,2019,Mar,CC201,ACC3000000,Asset,-939.608
297,2019,Mar,CC201,ACC3000002,Asset,984.445
298,2019,Mar,CC201,ACC4000001,Liability,-202.0
299,2019,Mar,CC202,ACC1000000,Revenue,763.959
300,2019,Mar,CC202,ACC1000001,Revenue,456.428
301,2019,Mar,CC202,ACC1000002,Revenue,743.004
302,2019,Mar,CC202,ACC1000004,Revenue,741.885
303,2019,Mar,CC202,ACC2000000,Expense,514.659
304,2019,Mar,CC202,ACC2000001,Expense,294.769
305,2019,Mar,CC202,ACC2000002,Expense,339.997
306,2019,Mar,CC202,ACC2000003,Expense,204.383
307,2019,Mar,CC202,ACC2000005,Expense,415.972
308,2019,Mar,CC202,ACC3000000,Asset,-480.746
310,2019,Mar,CC202,ACC3000002,Asset,676.644
311,2019,Mar,CC202,ACC4000001,Liability,-782.0
312,2019,Mar,CC300,ACC1000000,Revenue,403.234
313,2019,Mar,CC300,ACC1000001,Revenue,449.937
314,2019,Mar,CC300,ACC1000002,Revenue,1098.557
315,2019,Mar,CC300,ACC1000004,Revenue,607.094
316,2019,Mar,CC300,ACC2000000,Expense,279.312
317,2019,Mar,CC300,ACC2000001,Expense,608.549
318,2019,Mar,CC300,ACC2000002,Expense,427.042
319,2019,Mar,CC300,ACC2000003,Expense,534.549
320,2019,Mar,CC300,ACC2000005,Expense,243.346
321,2019,Mar,CC300,ACC3000000,Asset,397.184
323,2019,Mar,CC300,ACC3000002,Asset,673.194
324,2019,Mar,CC300,ACC4000001,Liability,986.0
325,2019,Mar,CC301,ACC1000000,Revenue,731.856
326,2019,Mar,CC301,ACC1000001,Revenue,509.211
327,2019,Mar,CC301,ACC1000002,Revenue,743.428
328,2019,Mar,CC301,ACC1000004,Revenue,148.979
329,2019,Mar,CC301,ACC2000000,Expense,471.682
330,2019,Mar,CC301,ACC2000001,Expense,372.718
331,2019,Mar,CC301,ACC2000002,Expense,212.251
332,2019,Mar,CC301,ACC2000003,Expense,197.102
333,2019,Mar,CC301,ACC2000005,Expense,443.442
334,2019,Mar,CC301,ACC3000000,Asset,-649.235
336,2019,Mar,CC301,ACC3000002,Asset,527.696
337,2019,Mar,CC301,ACC4000001,Liability,-792.0
338,2019,Mar,CC302,ACC1000000,Revenue,1004.56
339,2019,Mar,CC302,ACC1000001,Revenue,115.409
340,2019,Mar,CC302,ACC1000002,Revenue,1009.768
341,2019,Mar,CC302,ACC1000004,Revenue,86.637
342,2019,Mar,CC302,ACC2000000,Expense,765.671
343,2019,Mar,CC302,ACC2000001,Expense,685.627
344,2019,Mar,CC302,ACC2000002,Expense,469.24
345,2019,Mar,CC302,ACC2000003,Expense,576.78
346,2019,Mar,CC302,ACC2000005,Expense,758.89
347,2019,Mar,CC302,ACC3000000,Asset,-278.892
349,2019,Mar,CC302,ACC3000002,Asset,656.158
350,2019,Mar,CC302,ACC4000001,Liability,604.0
351,2019,Apr,CC100,ACC1000000,Revenue,877.563
352,2019,Apr,CC100,ACC1000001,Revenue,493.694
353,2019,Apr,CC100,ACC1000002,Revenue,753.969
354,2019,Apr,CC100,ACC1000004,Revenue,583.102
355,2019,Apr,CC100,ACC2000000,Expense,503.11
356,2019,Apr,CC100,ACC2000001,Expense,605.392
357,2019,Apr,CC100,ACC2000002,Expense,321.842
358,2019,Apr,CC100,ACC2000003,Expense,470.804
359,2019,Apr,CC100,ACC2000005,Expense,398.3
360,2019,Apr,CC100,ACC3000000,Asset,843.691
362,2019,Apr,CC100,ACC3000002,Asset,486.081
363,2019,Apr,CC100,ACC4000001,Liability,402.0
364,2019,Apr,CC101,ACC1000000,Revenue,505.747
365,2019,Apr,CC101,ACC1000001,Revenue,302.298
366,2019,Apr,CC101,ACC1000002,Revenue,413.823
367,2019,Apr,CC101,ACC1000004,Revenue,327.788
368,2019,Apr,CC101,ACC2000000,Expense,414.37
369,2019,Apr,CC101,ACC2000001,Expense,477.585
370,2019,Apr,CC101,ACC2000002,Expense,72.275
371,2019,Apr,CC101,ACC2000003,Expense,252.063
372,2019,Apr,CC101,ACC2000005,Expense,318.396
373,2019,Apr,CC101,ACC3000000,Asset,-703.624
375,2019,Apr,CC101,ACC3000002,Asset,153.535
376,2019,Apr,CC101,ACC4000001,Liability,-980.0
377,2019,Apr,CC102,ACC1000000,Revenue,997.204
378,2019,Apr,CC102,ACC1000001,Revenue,79.265
379,2019,Apr,CC102,ACC1000002,Revenue,1273.528
380,2019,Apr,CC102,ACC1000004,Revenue,334.796
381,2019,Apr,CC102,ACC2000000,Expense,567.541
382,2019,Apr,CC102,ACC2000001,Expense,708.587
383,2019,Apr,CC102,ACC2000002,Expense,506.579
384,2019,Apr,CC102,ACC2000003,Expense,562.361
385,2019,Apr,CC102,ACC2000005,Expense,693.075
386,2019,Apr,CC102,ACC3000000,Asset,-198.831
388,2019,Apr,CC102,ACC3000002,Asset,408.359
389,2019,Apr,CC102,ACC4000001,Liability,608.0
390,2019,Apr,CC200,ACC1000000,Revenue,1113.095
391,2019,Apr,CC200,ACC1000001,Revenue,355.738
392,2019,Apr,CC200,ACC1000002,Revenue,1035.996
393,2019,Apr,CC200,ACC1000004,Revenue,933.899
394,2019,Apr,CC200,ACC2000000,Expense,812.644
395,2019,Apr,CC200,ACC2000001,Expense,703.858
396,2019,Apr,CC200,ACC2000002,Expense,447.586
397,2019,Apr,CC200,ACC2000003,Expense,561.781
398,2019,Apr,CC200,ACC2000005,Expense,700.446
399,2019,Apr,CC200,ACC3000000,Asset,796.656
401,2019,Apr,CC200,ACC3000002,Asset,286.884
402,2019,Apr,CC200,ACC4000001,Liability,588.0
403,2019,Apr,CC201,ACC1000000,Revenue,557.642
404,2019,Apr,CC201,ACC1000001,Revenue,366.216
405,2019,Apr,CC201,ACC1000002,Revenue,863.994
406,2019,Apr,CC201,ACC1000004,Revenue,775.785
407,2019,Apr,CC201,ACC2000000,Expense,289.414
408,2019,Apr,CC201,ACC2000001,Expense,291.616
409,2019,Apr,CC201,ACC2000002,Expense,233.196
410,2019,Apr,CC201,ACC2000003,Expense,448.206
411,2019,Apr,CC201,ACC2000005,Expense,304.678
412,2019,Apr,CC201,ACC3000000,Asset,-554.647
414,2019,Apr,CC201,ACC3000002,Asset,658.04
415,2019,Apr,CC201,ACC4000001,Liability,-984.0
416,2019,Apr,CC202,ACC1000000,Revenue,540.851
417,2019,Apr,CC202,ACC1000001,Revenue,550.359
418,2019,Apr,CC202,ACC1000002,Revenue,1099.379
419,2019,Apr,CC202,ACC1000004,Revenue,675.841
420,2019,Apr,CC202,ACC2000000,Expense,246.986
421,2019,Apr,CC202,ACC2000001,Expense,704.92
422,2019,Apr,CC202,ACC2000002,Expense,414.685
423,2019,Apr,CC202,ACC2000003,Expense,517.614
424,2019,Apr,CC202,ACC2000005,Expense,227.362
425,2019,Apr,CC202,ACC3000000,Asset,-844.882
427,2019,Apr,CC202,ACC3000002,Asset,97.174
428,2019,Apr,CC202,ACC4000001,Liability,-980.0
429,2019,Apr,CC300,ACC1000000,Revenue,440.963
430,2019,Apr,CC300,ACC1000001,Revenue,623.147
431,2019,Apr,CC300,ACC1000002,Revenue,1059.26
432,2019,Apr,CC300,ACC1000004,Revenue,941.066
433,2019,Apr,CC300,ACC2000000,Expense,298.77
434,2019,Apr,CC300,ACC2000001,Expense,675.84
435,2019,Apr,CC300,ACC2000002,Expense,449.317
436,2019,Apr,CC300,ACC2000003,Expense,503.816
437,2019,Apr,CC300,ACC2000005,Expense,276.746
438,2019,Apr,CC300,ACC3000000,Asset,-610.421
440,2019,Apr,CC300,ACC3000002,Asset,1204.792
441,2019,Apr,CC300,ACC4000001,Liability,-980.0
442,2019,Apr,CC301,ACC1000000,Revenue,693.245
443,2019,Apr,CC301,ACC1000001,Revenue,477.711
444,2019,Apr,CC301,ACC1000002,Revenue,918.024
445,2019,Apr,CC301,ACC1000004,Revenue,880.697
446,2019,Apr,CC301,ACC2000000,Expense,469.377
447,2019,Apr,CC301,ACC2000001,Expense,359.077
448,2019,Apr,CC301,ACC2000002,Expense,286.602
449,2019,Apr,CC301,ACC2000003,Expense,299.946
450,2019,Apr,CC301,ACC2000005,Expense,451.148
451,2019,Apr,CC301,ACC3000000,Asset,-213.638
453,2019,Apr,CC301,ACC3000002,Asset,544.589
454,2019,Apr,CC301,ACC4000001,Liability,-592.0
455,2019,Apr,CC302,ACC1000000,Revenue,163.273
456,2019,Apr,CC302,ACC1000001,Revenue,527.373
457,2019,Apr,CC302,ACC1000002,Revenue,967.902
458,2019,Apr,CC302,ACC1000004,Revenue,1026.2
459,2019,Apr,CC302,ACC2000000,Expense,179.087
460,2019,Apr,CC302,ACC2000001,Expense,611.081
461,2019,Apr,CC302,ACC2000002,Expense,403.062
462,2019,Apr,CC302,ACC2000003,Expense,415.687
463,2019,Apr,CC302,ACC2000005,Expense,248.188
464,2019,Apr,CC302,ACC3000000,Asset,-490.935
466,2019,Apr,CC302,ACC3000002,Asset,620.365
467,2019,Apr,CC302,ACC4000001,Liability,-980.0
468,2019,May,CC100,ACC1000000,Revenue,68.079
469,2019,May,CC100,ACC1000001,Revenue,502.282
470,2019,May,CC100,ACC1000002,Revenue,980.197
471,2019,May,CC100,ACC1000004,Revenue,118.708
472,2019,May,CC100,ACC2000000,Expense,172.572
473,2019,May,CC100,ACC2000001,Expense,698.583
474,2019,May,CC100,ACC2000002,Expense,485.099
475,2019,May,CC100,ACC2000003,Expense,544.646
476,2019,May,CC100,ACC2000005,Expense,146.85
477,2019,May,CC100,ACC3000000,Asset,742.772
479,2019,May,CC100,ACC3000002,Asset,693.79
480,2019,May,CC100,ACC4000001,Liability,588.0
481,2019,May,CC101,ACC1000000,Revenue,778.923
482,2019,May,CC101,ACC1000001,Revenue,494.834
483,2019,May,CC101,ACC1000002,Revenue,268.192
484,2019,May,CC101,ACC1000004,Revenue,688.775
485,2019,May,CC101,ACC2000000,Expense,600.917
486,2019,May,CC101,ACC2000001,Expense,183.139
487,2019,May,CC101,ACC2000002,Expense,115.556
488,2019,May,CC101,ACC2000003,Expense,186.162
489,2019,May,CC101,ACC2000005,Expense,517.469
490,2019,May,CC101,ACC3000000,Asset,-317.642
492,2019,May,CC101,ACC3000002,Asset,793.117
493,2019,May,CC101,ACC4000001,Liability,-988.0
494,2019,May,CC102,ACC1000000,Revenue,894.593
495,2019,May,CC102,ACC1000001,Revenue,657.967
496,2019,May,CC102,ACC1000002,Revenue,1041.095
497,2019,May,CC102,ACC1000004,Revenue,413.443
498,2019,May,CC102,ACC2000000,Expense,657.05
499,2019,May,CC102,ACC2000001,Expense,667.832
500,2019,May,CC102,ACC2000002,Expense,467.139
501,2019,May,CC102,ACC2000003,Expense,570.277
502,2019,May,CC102,ACC2000005,Expense,599.199
503,2019,May,CC102,ACC3000000,Asset,696.0
505,2019,May,CC102,ACC3000002,Asset,1206.507
506,2019,May,CC102,ACC4000001,Liability,608.0
507,2019,May,CC200,ACC1000000,Revenue,839.684
508,2019,May,CC200,ACC1000001,Revenue,489.714
509,2019,May,CC200,ACC1000002,Revenue,757.045
510,2019,May,CC200,ACC1000004,Revenue,376.674
511,2019,May,CC200,ACC2000000,Expense,471.524
512,2019,May,CC200,ACC2000001,Expense,446.418
513,2019,May,CC200,ACC2000002,Expense,320.22
514,2019,May,CC200,ACC2000003,Expense,350.177
515,2019,May,CC200,ACC2000005,Expense,424.264
516,2019,May,CC200,ACC3000000,Asset,782.782
518,2019,May,CC200,ACC3000002,Asset,690.476
519,2019,May,CC200,ACC4000001,Liability,788.0
520,2019,May,CC201,ACC1000000,Revenue,302.488
521,2019,May,CC201,ACC1000001,Revenue,42.783
522,2019,May,CC201,ACC1000002,Revenue,776.241
523,2019,May,CC201,ACC1000004,Revenue,263.661
524,2019,May,CC201,ACC2000000,Expense,75.002
525,2019,May,CC201,ACC2000001,Expense,279.159
526,2019,May,CC201,ACC2000002,Expense,269.611
527,2019,May,CC201,ACC2000003,Expense,245.204
528,2019,May,CC201,ACC2000005,Expense,93.977
529,2019,May,CC201,ACC3000000,Asset,-315.248
531,2019,May,CC201,ACC3000002,Asset,393.697
532,2019,May,CC201,ACC4000001,Liability,-588.0
533,2019,May,CC202,ACC1000000,Revenue,800.879
